urlkey,group_id,count
fsharp,16967362,1
fun-and-laughter,16967362,1
fundraising,16967362,1
furniture-design,16967362,1
futbol,16967362,1
future,16967362,1
futures-trading,16967362,1
game-monetization,16967362,1
gameprog,16967362,1
gamification,16967362,1
gay-male-social-group,16967362,1
gay-men,16967362,1
gay-mens-social-group,16967362,1
gay-single-men,16967362,1
gaycouples,16967362,1
gayrights,16967362,1
gemstones,16967362,1
genetics,16967362,1
geology-adventures,16967362,1
german-conversation,16967362,1
german-culture,16967362,1
gettingthingsdone,16967362,1
girl-develop-it,16967362,1
gluten-intolerant,16967362,1
gluten-sensitive,16967362,1
google-dart,16967362,1
google-developer-group,16967362,1
graph-theory,16967362,1
green,16967362,1
green-building,16967362,1
greenhome,16967362,1
gridcomputing,16967362,1
group-fitness-training,16967362,1
gtug,16967362,1
gui,16967362,1
hair-styling,16967362,1
halo,16967362,1
handcrafted-soaps,16967362,1
happiness,16967362,1
healing-with-horses,16967362,1
health-wellness-and-image,16967362,1
healthcare-big-data,16967362,1
hebrew,16967362,1
help-for-business-startups,16967362,1
helping-non-profits,16967362,1
high-performance-computing,16967362,1
hiking-with-your-dog,16967362,1
hindi,16967362,1
hispanicdems,16967362,1
historic-buildings,16967362,1
hive,16967362,1
home-brewing,16967362,1
home-office-and-telecommuting-professionals,16967362,1
homebrew,16967362,1
homeschool,16967362,1
hondabikes,16967362,1
horse-education,16967362,1
horse-enthusiasts,16967362,1
horse-lovers,16967362,1
horse-riding,16967362,1
hot-moms,16967362,1
hot-process-soap,16967362,1
html-5-css3,16967362,1
html-and-css,16967362,1
html-and-css-workshops,16967362,1
html-next,16967362,1
html5-animation,16967362,1
html5-application-development,16967362,1
html5-game-development,16967362,1
html5-gaming,16967362,1
html5-video-codecs,16967362,1
html6,16967362,1
hypnosis,16967362,1
hypnosis-and-hypnotherapy,16967362,1
iaas-infrastructure-as-a-service,16967362,1
ibd,16967362,1
ice-hockey,16967362,1
identity,16967362,1
inddesign,16967362,1
independent-consultant,16967362,1
indie-comics,16967362,1
indoor-soccer,16967362,1
industrial-organizational-psychology,16967362,1
interacial-dating,16967362,1
interior-decorating,16967362,1
international-cuisine,16967362,1
international-development,16967362,1
international-friends,16967362,1
internet-ecommerce,16967362,1
intp,16967362,1
iphone-app-marketing,16967362,1
it-consulting,16967362,1
it-infrastructure,16967362,1
japanese-culture,16967362,1
java-concurrency,16967362,1
java-ee,16967362,1
java-server-side,16967362,1
javascript-animation,16967362,1
javascript-best-practices,16967362,1
jesus-christ,16967362,1
jewish,16967362,1
jewish-singles-and-mingles,16967362,1
jewish-social,16967362,1
jews-and-booze,16967362,1
joss-whedon,16967362,1
journo,16967362,1
jquery-mobile,16967362,1
jquery-ui,16967362,1
json,16967362,1
kickball,16967362,1
kids,16967362,1
kirtan,16967362,1
kiwis-abroad,16967362,1
kiwis-in-portland,16967362,1
knitting-for-beginners,16967362,1
korean,16967362,1
korean-culture,16967362,1
kubernetes,16967362,1
labs,16967362,1
lamp-stack,16967362,1
language-and-culture-exchange,16967362,1
language-exchange,16967362,1
language-translations,16967362,1
latinamerauth,16967362,1
latino-a-professionals,16967362,1
league-of-legends,16967362,1
learn-vim,16967362,1
learning-chinese,16967362,1
learning-drupal,16967362,1
learning-erlang-and-otp,16967362,1
learning-tarot,16967362,1
leisure,16967362,1
leonardcohen,16967362,1
Lesbian,16967362,1
lesbian-friends,16967362,1
lesscss,16967362,1
lets-get-together-and-learn-evernote-together,16967362,1
life-coaching,16967362,1
life-drawing,16967362,1
liferay,16967362,1
lifestyle-design,16967362,1
live-jazz-music,16967362,1
live-music-concerts,16967362,1
living-on-purpose,16967362,1
local-french-language-resources,16967362,1
long-distance-running,16967362,1
longnow,16967362,1
looking-for-chess-enthusiasts,16967362,1
lose-weight-and-feel-great,16967362,1
low-cost-living,16967362,1
mac,16967362,1
manuf,16967362,1
maptime,16967362,1
marionette-js,16967362,1
married-couples,16967362,1
martial,16967362,1
massage-education,16967362,1
massively-multiplayer-online-role-play-games,16967362,1
mathematical-modelling,16967362,1
mathematics-anxiety,16967362,1
mathematics-tutoring,16967362,1
medical-cannabis,16967362,1
medical-devices,16967362,1
medieval-fantasy,16967362,1
meet-and-practice-asl,16967362,1
meet-and-practice-asl-with-others,16967362,1
meet-for-lunches,16967362,1
meetup,16967362,1
mentalill,16967362,1
meteorology,16967362,1
micro-brewed-beer,16967362,1
microfinance,16967362,1
microservices,16967362,1
microsoft-access,16967362,1
microsoft-excel,16967362,1
microstrategy,16967362,1
microstrategy-best-practices,16967362,1
microstrategy-dashboards,16967362,1
midi-controllers,16967362,1
midi-production,16967362,1
midi-sequencing,16967362,1
milfs,16967362,1
mindfulness-meditation,16967362,1
mobile-application-development,16967362,1
mobile-game-development,16967362,1
mobile-html5,16967362,1
mobile-innvoation-forum,16967362,1
mobile-user-experience,16967362,1
mobile-web,16967362,1
model-photography,16967362,1
models,16967362,1
moms-with-double-lives,16967362,1
monetization,16967362,1
monitoring,16967362,1
mothers-over-40,16967362,1
motion-graphics,16967362,1
mountain-bike-skills,16967362,1
movie-making,16967362,1
mozilla,16967362,1
mtf-ftm-transgender,16967362,1
multi-rotor-aircraft,16967362,1
